"","Region","Brain.ID","Strain","Sex","Age.Harvested","Genotype","Stain","Load.Percentage_NL","Load.Percentage_RG","Load.Difference","Region_Parent"
"82","Ammon.s.horn","1-11-23-15_03","BXD65",0,6,5,"GFAP",34.8759735835855,33.4419852031917,1.4339883803938,"Hippocampal formation"
"83","Ammon.s.horn","1-11-23-15_17","DBA.2J",0,14,5,"GFAP",40.2053629528,38.7212820009972,1.4840809518028,"Hippocampal formation"
"84","Ammon.s.horn","1-12-02-15_14","BXD62",0,14,5,"GFAP",40.0781941846268,39.5369365614996,0.541257623127194,"Hippocampal formation"
"85","Ammon.s.horn","1-12-07-15_08","BXD61",0,14,5,"GFAP",40.6282180500599,37.9554204855859,2.672797564474,"Hippocampal formation"
"86","Ammon.s.horn","1-12-09-15_12","BXD44",0,14,5,"GFAP",39.4524815202876,39.408432260928,0.0440492593596034,"Hippocampal formation"
"87","Ammon.s.horn","1-12-14-15_04","BXD66",0,14,5,"GFAP",44.4383948231775,44.5164635219455,-0.0780686987679928,"Hippocampal formation"
"88","Ammon.s.horn","1-12-14-15_19","BXD32",0,14,5,"GFAP",42.9811045946879,42.6318181232786,0.3492864714093,"Hippocampal formation"
"89","Ammon.s.horn","1-12-18-15_08","BXD32",1,14,5,"GFAP",34.825544781353,34.4068750270509,0.418669754302101,"Hippocampal formation"
"90","Ammon.s.horn","1-5-12-15_02","BXD100",0,6,5,"GFAP",19.8263897108806,18.1939805324924,1.6324091783882,"Hippocampal formation"
"91","Ammon.s.horn","1-5-12-15_05","BXD77",0,6,5,"GFAP",27.6828748101599,26.361575417476,1.3212993926839,"Hippocampal formation"
"92","Ammon.s.horn","1-5-12-15_27","BXD60",0,6,5,"GFAP",16.169584506902,15.2247064664372,0.944878040464799,"Hippocampal formation"
"93","Ammon.s.horn","1-5-12-15_36","BXD32",1,6,5,"GFAP",15.0609601771566,14.2138363717305,0.847123805426097,"Hippocampal formation"
"94","Ammon.s.horn","1-5-12-15_41","BXD69",0,6,5,"GFAP",21.6577491149331,21.2043721682019,0.453376946731201,"Hippocampal formation"
"95","Ammon.s.horn","1-5-22-15_10","BXD62",0,6,5,"GFAP",19.1286727395454,19.4439808089578,-0.315308069412399,"Hippocampal formation"
"96","Ammon.s.horn","1-6-4-15_04","BXD32",0,6,5,"GFAP",13.1161512390743,13.2263301584202,-0.110178919345898,"Hippocampal formation"
"97","Ammon.s.horn","1-9-02-15_04","BXD51",0,6,5,"GFAP",19.3807337882741,19.6739018453644,-0.293168057090302,"Hippocampal formation"
"98","Ammon.s.horn","1-9-23-15_06","DBA.2J",0,6,5,"GFAP",21.0140614482819,21.8474215168793,-0.833360068597401,"Hippocampal formation"
"99","Ammon.s.horn","1-12-14-15_04","BXD66",0,14,5,"NeuN",17.4345926616793,17.2237027854529,0.2108898762264,"Hippocampal formation"
"100","Ammon.s.horn","1-12-14-15_19","BXD32",0,14,5,"NeuN",16.3527459467184,15.945565389806,0.407180556912401,"Hippocampal formation"
"101","Ammon.s.horn","1-12-18-15_08","BXD32",1,14,5,"NeuN",18.3468259859628,18.3325980517176,0.0142279342452021,"Hippocampal formation"
"102","Ammon.s.horn","1-5-12-15_02","BXD100",0,6,5,"NeuN",18.3605913185513,16.7808675302072,1.5797237883441,"Hippocampal formation"
"103","Ammon.s.horn","1-5-12-15_05","BXD77",0,6,5,"NeuN",16.5537771943529,15.7565001273738,0.797277066979101,"Hippocampal formation"
"104","Ammon.s.horn","1-5-12-15_27","BXD60",0,6,5,"NeuN",16.5666694334118,14.6017271715809,1.9649422618309,"Hippocampal formation"
"105","Ammon.s.horn","1-5-12-15_36","BXD32",1,6,5,"NeuN",18.0882652863364,16.05663300793,2.0316322784064,"Hippocampal formation"
"106","Ammon.s.horn","1-5-12-15_41","BXD69",0,6,5,"NeuN",17.4777672094933,16.8204442275296,0.657322981963702,"Hippocampal formation"
"107","Ammon.s.horn","1-5-22-15_10","BXD62",0,6,5,"NeuN",18.194888669592,17.4332255848262,0.7616630847658,"Hippocampal formation"
"108","Ammon.s.horn","1-6-4-15_04","BXD32",0,6,5,"NeuN",17.4241433615137,15.8881469827084,1.5359963788053,"Hippocampal formation"
"109","Ammon.s.horn","1-9-02-15_04","BXD51",0,6,5,"NeuN",19.3004778837614,18.337877470149,0.9626004136124,"Hippocampal formation"
"110","Ammon.s.horn","1-9-23-15_06","DBA.2J",0,6,5,"NeuN",17.5761809118831,16.9787253423453,0.5974555695378,"Hippocampal formation"
"111","Ammon.s.horn","1-5-12-15_27","BXD60",0,6,5,"Thionine",24.0494174749962,23.3611760432031,0.688241431793099,"Hippocampal formation"
"112","Ammon.s.horn","1-5-12-15_36","BXD32",1,6,5,"Thionine",22.7616097375207,21.0484925281358,1.7131172093849,"Hippocampal formation"
"113","Ammon.s.horn","1-03-14-16_03","BXD51",0,14,5,"NeuN",17.9401281447231,17.7694623374062,0.170665807316901,"Hippocampal formation"
"114","Ammon.s.horn","1-03-28-16_10","BXD65",0,14,5,"NeuN",19.2318590772171,17.8424667047487,1.3893923724684,"Hippocampal formation"
"115","Ammon.s.horn","1-03-28-16_18","BXD65",0,14,5,"NeuN",18.5059694210144,19.1754682559622,-0.669498834947799,"Hippocampal formation"
"116","Ammon.s.horn","1-04-26-15_06","BXD61",0,6,5,"NeuN",17.7261594258207,16.726138525494,1.0000209003267,"Hippocampal formation"
"117","Ammon.s.horn","1-04-26-15_17","BXD66",0,6,0,"NeuN",17.9719815392226,16.831295807504,1.1406857317186,"Hippocampal formation"
"118","Ammon.s.horn","1-11-15-15_13","DBA.2J",0,14,5,"GFAP",51.6113480451949,51.5306268785304,0.0807211666645102,"Hippocampal formation"
"119","Ammon.s.horn","1-11-16-15_09","BXD100",0,14,5,"GFAP",38.5135702679732,38.9178727097696,-0.404302441796403,"Hippocampal formation"
"120","Ammon.s.horn","1-06-24-15_13","BXD75",0,6,5,"NeuN",19.3162104405429,17.644467426199,1.6717430143439,"Hippocampal formation"
"121","Ammon.s.horn","1-09-23-15_04","BXD68",0,6,0,"NeuN",19.1233231875598,18.7431097623718,0.380213425187996,"Hippocampal formation"
"122","Ammon.s.horn","1-1-11-16_12","BXD68",0,14,5,"NeuN",17.2143911381469,16.5103587843174,0.704032353829501,"Hippocampal formation"
"123","Ammon.s.horn","1-1-18-16_16","BXD87",0,14,5,"NeuN",18.2476659871892,18.7555468496382,-0.507880862449003,"Hippocampal formation"
"124","Ammon.s.horn","1-1-20-16_17","BXD75",0,14,5,"NeuN",16.149782557636,16.0034290122442,0.146353545391801,"Hippocampal formation"
"125","Ammon.s.horn","1-10-14-15_07","DBA.2J",0,14,5,"NeuN",15.4783844415505,14.5676044578643,0.910779983686199,"Hippocampal formation"
"126","Ammon.s.horn","1-10-14-15_14","C57BL.6J",0,14,5,"NeuN",17.1337649913859,15.8799833389957,1.2537816523902,"Hippocampal formation"
"127","Ammon.s.horn","1-11-09-15_16","BXD77",0,14,5,"NeuN",14.7999211953532,14.3813965941906,0.418524601162598,"Hippocampal formation"
"128","Ammon.s.horn","1-11-09-15_18","BXD69",0,14,5,"NeuN",16.7244670046004,16.7516423756356,-0.0271753710352023,"Hippocampal formation"
"129","Ammon.s.horn","1-11-09-15_20","C57BL.6J",0,6,5,"NeuN",18.5936586976067,17.8988845024549,0.694774195151798,"Hippocampal formation"
"130","Ammon.s.horn","1-03-14-16_03","BXD51",0,14,5,"Iba1",20.5891530582639,20.262418317864,0.3267347403999,"Hippocampal formation"
"131","Ammon.s.horn","1-03-28-16_10","BXD65",0,14,5,"Iba1",20.3951198074947,19.927151664798,0.467968142696698,"Hippocampal formation"
"132","Ammon.s.horn","1-03-28-16_18","BXD65",0,14,5,"Iba1",19.6184067370274,19.1559090271489,0.462497709878498,"Hippocampal formation"
"133","Ammon.s.horn","1-04-26-15_06","BXD61",0,6,5,"Iba1",12.4947133041566,12.3747235366786,0.119989767478,"Hippocampal formation"
"134","Ammon.s.horn","1-04-26-15_17","BXD66",0,6,0,"Iba1",6.54626253216768,6.2753661009897,0.270896431177981,"Hippocampal formation"
"135","Ammon.s.horn","1-06-24-15_06","BXD44",0,6,5,"Iba1",13.0570561946982,12.7764523256173,0.280603869080901,"Hippocampal formation"
"136","Ammon.s.horn","1-06-24-15_08","BXD87",0,6,5,"Iba1",10.4774945015981,10.3021775280678,0.1753169735303,"Hippocampal formation"
"137","Ammon.s.horn","1-06-24-15_13","BXD75",0,6,5,"Iba1",13.3380670721825,14.0041124140091,-0.666045341826603,"Hippocampal formation"
"138","Ammon.s.horn","1-09-23-15_04","BXD68",0,6,0,"Iba1",8.32465234513651,7.91047901210955,0.41417333302696,"Hippocampal formation"
"139","Ammon.s.horn","1-1-11-16_12","BXD68",0,14,5,"Iba1",18.0839065467844,17.628575382996,0.455331163788401,"Hippocampal formation"
"140","Ammon.s.horn","1-1-18-16_16","BXD87",0,14,5,"Iba1",17.8114864889464,17.7321953709035,0.0792911180428995,"Hippocampal formation"
"141","Ammon.s.horn","1-11-23-15_03","BXD65",0,6,5,"Thionine",22.863138655761,22.9774173239396,-0.114278668178599,"Hippocampal formation"
"142","Ammon.s.horn","1-11-23-15_17","DBA.2J",0,14,5,"Thionine",23.817860733955,24.1059727465116,-0.288112012556599,"Hippocampal formation"
"143","Ammon.s.horn","1-12-02-15_14","BXD62",0,14,5,"Thionine",21.1275874128761,20.8890808559491,0.238506556927,"Hippocampal formation"
"144","Ammon.s.horn","1-12-07-15_08","BXD61",0,14,5,"Thionine",21.3026564171902,21.8346738518158,-0.532017434625601,"Hippocampal formation"
"145","Ammon.s.horn","1-12-09-15_12","BXD44",0,14,5,"Thionine",22.1721201462354,22.245870256818,-0.0737501105826013,"Hippocampal formation"
"146","Ammon.s.horn","1-12-14-15_04","BXD66",0,14,5,"Thionine",21.2536127865804,21.1011618482271,0.152450938353301,"Hippocampal formation"
"147","Ammon.s.horn","1-12-14-15_19","BXD32",0,14,5,"Thionine",22.1969111177289,21.8492191855285,0.347691932200402,"Hippocampal formation"
"148","Ammon.s.horn","1-12-18-15_08","BXD32",1,14,5,"Thionine",22.2022293571395,22.4826747455454,-0.280445388405898,"Hippocampal formation"
"149","Ammon.s.horn","1-5-12-15_02","BXD100",0,6,5,"Thionine",23.7119007197535,23.2895780998635,0.42232261989,"Hippocampal formation"
"150","Ammon.s.horn","1-5-12-15_05","BXD77",0,6,5,"Thionine",22.3269473740462,22.4676000412203,-0.140652667174102,"Hippocampal formation"
"151","Ammon.s.horn","1-11-2014_01","DBA.2J",0,6,5,"Iba1",6.81853889228696,6.34855493912377,0.46998395316319,"Hippocampal formation"
"152","Ammon.s.horn","1-11-2015_02","DBA.2J",0,6,5,"Iba1",7.38957504363724,7.18471674292535,0.204858300711891,"Hippocampal formation"
"153","Ammon.s.horn","1-11-23-15_03","BXD65",0,6,5,"Iba1",12.8933359914973,13.0883530367045,-0.1950170452072,"Hippocampal formation"
"154","Ammon.s.horn","1-11-23-15_17","DBA.2J",0,14,5,"Iba1",17.9525186430747,17.5616193335651,0.390899309509599,"Hippocampal formation"
"155","Ammon.s.horn","1-12-02-15_14","BXD62",0,14,5,"Iba1",21.4359267364485,21.0463930437272,0.389533692721301,"Hippocampal formation"
"156","Ammon.s.horn","1-12-07-15_08","BXD61",0,14,5,"Iba1",19.6623178535478,19.2721175267883,0.390200326759501,"Hippocampal formation"
"157","Ammon.s.horn","1-12-09-15_12","BXD44",0,14,5,"Iba1",23.369278106758,23.2778958914088,0.0913822153492028,"Hippocampal formation"
"158","Ammon.s.horn","1-06-24-15_06","BXD44",0,6,5,"NeuN",17.0018125051727,16.6955532533155,0.306259251857199,"Hippocampal formation"
"159","Ammon.s.horn","1-06-24-15_08","BXD87",0,6,5,"NeuN",18.7492423287812,16.4075495969882,2.341692731793,"Hippocampal formation"
"160","Ammon.s.horn","1-12-18-15_08","BXD32",1,14,5,"Iba1",12.9683736967251,12.5190242919679,0.449349404757198,"Hippocampal formation"
"161","Ammon.s.horn","1-5-12-15_02","BXD100",0,6,5,"Iba1",10.4771687915082,9.89939423800924,0.57777455349896,"Hippocampal formation"
"162","Ammon.s.horn","1-5-12-15_05","BXD77",0,6,5,"Iba1",12.9915049758672,12.8922168129256,0.0992881629415994,"Hippocampal formation"
"163","Ammon.s.horn","1-5-12-15_27","BXD60",0,6,5,"Iba1",12.3599440647137,11.9431299085499,0.416814156163799,"Hippocampal formation"
"164","Ammon.s.horn","1-5-12-15_36","BXD32",1,6,5,"Iba1",8.24302411029154,8.2143841456389,0.0286399646526387,"Hippocampal formation"
"165","Ammon.s.horn","1-5-12-15_41","BXD69",0,6,5,"Iba1",12.2248925857303,11.9398931836698,0.2849994020605,"Hippocampal formation"
"166","Ammon.s.horn","1-5-22-15_10","BXD62",0,6,5,"Iba1",10.0406798006824,10.7119056806326,-0.671225879950198,"Hippocampal formation"
"167","Ammon.s.horn","1-6-4-15_04","BXD32",0,6,5,"Iba1",10.6525233815124,9.56662434453663,1.08589903697577,"Hippocampal formation"
"168","Ammon.s.horn","1-9-02-15_04","BXD51",0,6,5,"Iba1",10.4432464242942,10.467745680128,-0.0244992558338009,"Hippocampal formation"
"169","Ammon.s.horn","1-9-23-15_06","DBA.2J",0,6,5,"Iba1",11.7581130969943,11.3374977696956,0.420615327298702,"Hippocampal formation"
"170","Ammon.s.horn","1-11-15-15_05","BXD60",0,14,5,"NeuN",18.5879913501774,18.1394861412929,0.448505208884502,"Hippocampal formation"
"171","Ammon.s.horn","1-11-15-15_13","DBA.2J",0,14,5,"NeuN",17.6832925651615,17.0574739911208,0.6258185740407,"Hippocampal formation"
