"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested96",4130.67300300139,1,19.6801287869223,0.000253832441158313,39.3513752121373,"Age.Harvested","Pons..motor.related","GFAP",0.000591558655241831,6,14
"Age.Harvested97",387.029149377339,1,3.09976711967459,0.0935881453408419,11.1803913846622,"Age.Harvested","Pons..sensory.related","GFAP",0.138369569724363,6,14
"Age.Harvested98",1785.80684112048,1,18.7538798619432,0.000324817742657302,25.8995536458981,"Age.Harvested","Posterior.amygdalar.nucleus","GFAP",0.000744373993589651,6,14
"Age.Harvested99",3014.98417527349,1,58.8426403816344,2.21682532714578e-07,59.808186640022,"Age.Harvested","Postsubiculum","GFAP",1.0886195802948e-06,6,14
"Age.Harvested100",993.081295871839,1,16.9648755673733,0.000532817915019465,26.8052003607769,"Age.Harvested","Presubiculum","GFAP",0.00117219941304282,6,14
"Age.Harvested101",1740.753705495,1,32.7574440288711,1.33528364303758e-05,44.4242769273291,"Age.Harvested","Reticular.nucleus.of.the.thalamus","GFAP",3.99133697647102e-05,6,14
"Age.Harvested102",2152.29731793743,1,206.644694488297,5.2603139102452e-12,76.985283047175,"Age.Harvested","Striatum","GFAP",2.91471947993603e-10,6,14
"Age.Harvested103",2057.85313969431,1,89.1842436322372,8.20928610919309e-09,72.7603577452918,"Age.Harvested","Striatum.like.amygdalar.nuclei","GFAP",6.63986376478853e-08,6,14
"Age.Harvested104",3221.48908862437,1,205.730887185656,5.47815254689797e-12,79.2148603962311,"Age.Harvested","Striatum_Pallidum","GFAP",2.91471947993603e-10,6,14
"Age.Harvested105",1697.31924730661,1,42.7732873072534,2.25438229087712e-06,59.3696899436225,"Age.Harvested","Subiculum","GFAP",8.15730434198957e-06,6,14
"Age.Harvested106",1099.40230711587,1,13.6230671093327,0.00144742177138665,28.2576211409551,"Age.Harvested","Subparafascicular.nucleus","GFAP",0.00301546202372218,6,14
"Age.Harvested107",1385.11810469611,1,104.174606176614,2.24072263709961e-09,66.2705449720753,"Age.Harvested","Thalamus","GFAP",2.12482319035308e-08,6,14
"Age.Harvested108",2807.15474761816,1,139.551997717562,1.7929594922068e-10,67.3389789887391,"Age.Harvested","Ventral.group.of.the.dorsal.thalamus","GFAP",3.79279892582207e-09,6,14
"Age.Harvested109",35.686583294475,1,1.47076203740812,0.239356410422978,5.07171795088907,"Age.Harvested","ventricular.systems","GFAP",0.310485909746788,6,14
"Age.Harvested110",553.670331263392,1,77.7955422275038,2.49943932962552e-08,67.0890652287805,"Age.Harvested","Ammon.s.horn","Iba1",1.63653765630242e-07,6,14
"Age.Harvested111",152.715526211071,1,20.5832174340927,0.000200768680479729,29.401790885836,"Age.Harvested","Anterior.group.of.the.dorsal.thalamus","Iba1",0.000475960233895908,6,14
"Age.Harvested112",311.891326094806,1,40.2394651897488,3.43358650648293e-06,52.5118306013071,"Age.Harvested","Basolateral.amygdalar.nucleus","Iba1",1.15150766985708e-05,6,14
"Age.Harvested113",214.257336253781,1,25.5105100891084,6.11631892548061e-05,48.9060755791266,"Age.Harvested","Basomedial.amygdalar.nucleus","Iba1",0.000155739602269182,6,14
"Age.Harvested114",431.707209249878,1,85.7177783458088,1.13725094848833e-08,70.75336804627,"Age.Harvested","Caudoputamen","Iba1",8.2301055482708e-08,6,14
"Age.Harvested115",490.86468816955,1,51.5309408195073,5.95929037085771e-07,55.2225590059461,"Age.Harvested","Claustrum","Iba1",2.55762383924e-06,6,14
"Age.Harvested116",123.63271750777,1,46.7106972754622,1.21234014273052e-06,56.3575787937849,"Age.Harvested","Cortex","Iba1",4.831790423926e-06,6,14
"Age.Harvested117",254.942807084257,1,53.4908394357063,4.52716909788132e-07,56.8670520110582,"Age.Harvested","Cortical.subplate","Iba1",2.00801855147962e-06,6,14
"Age.Harvested118",329.94746244916,1,40.0161278139611,3.56641196118804e-06,54.4957480644218,"Age.Harvested","Dentate.gyrus..granule.cell.layer","Iba1",1.1816425172611e-05,6,14
